Moyenne_Generale,Note_Maths,Note_Physique,Note_Francais,Filiere_Bac,Recommendation
12.05,9.44,8.99,10.07,Eco-Gestion,ENCG
15.28,17.4,12.66,10.19,Eco-Gestion,CPGE (Prépas)
10.68,15.32,11.6,13.77,SVT,Faculté (Licence Fondamentale)
12.29,15.31,13.5,14.01,SM-B,ENSA / ENSAM
11.54,10.36,16.45,9.19,SVT,FST
13.25,16.61,10.67,13.9,SVT,FST
19.94,17.67,13.74,15.59,SM-B,CPGE (Prépas)
10.0,10.58,13.56,10.23,SM-A,Faculté (Licence Fondamentale)
15.06,13.49,14.57,14.16,SM-A,ENSA / ENSAM
10.0,14.11,11.72,11.0,SVT,Faculté (Licence Fondamentale)
11.58,14.74,16.25,15.81,PC,ENSA / ENSAM
16.27,14.33,11.09,10.31,SVT,FST
13.19,10.04,9.35,12.05,SVT,FST
10.0,12.8,13.15,12.85,SVT,Faculté (Licence Fondamentale)
10.85,16.03,15.29,11.45,SM-A,ENSA / ENSAM
15.04,14.15,11.49,10.91,SM-A,FST
10.81,16.95,13.59,12.29,SM-A,ENSA / ENSAM
13.65,13.4,12.56,9.76,SVT,FST
13.14,15.99,18.25,9.61,PC,ENSA / ENSAM
11.05,14.35,17.38,12.56,SM-A,ENSA / ENSAM
19.43,11.56,12.2,12.25,SM-B,FST
14.9,13.67,14.17,13.1,SM-B,ENSA / ENSAM
10.0,18.92,14.42,16.22,SM-B,ENSA / ENSAM
13.56,16.29,15.3,13.85,Eco-Gestion,ENSA / ENSAM
11.01,6.11,12.38,16.15,SVT,FST
15.56,15.84,18.49,15.58,SM-B,CPGE (Prépas)
10.62,13.7,14.26,14.0,SVT,ENSA / ENSAM
12.66,11.01,14.0,16.59,SM-B,FST
14.51,12.38,15.55,9.87,PC,FST
15.6,17.35,16.04,10.35,SVT,CPGE (Prépas)
10.0,16.29,13.64,14.84,SM-B,ENSA / ENSAM
12.0,17.02,16.62,14.0,SM-A,ENSA / ENSAM
11.58,20.0,7.92,7.87,SVT,FST
11.04,10.82,6.3,8.52,Eco-Gestion,FST
18.3,14.0,13.16,10.14,SM-A,ENSA / ENSAM
14.21,17.04,13.99,12.46,SM-A,CPGE (Prépas)
10.0,14.68,8.7,12.21,Eco-Gestion,Faculté (Licence Fondamentale)
15.75,16.73,11.12,5.85,SM-A,CPGE (Prépas)
19.37,16.69,15.98,19.19,SM-A,Medecine / Pharmacie
16.1,16.32,16.64,12.41,SM-B,Medecine / Pharmacie
10.0,16.59,18.33,6.63,SM-B,ENSA / ENSAM
11.55,13.24,17.41,13.85,SVT,ENSA / ENSAM
16.8,16.95,9.11,12.9,SVT,CPGE (Prépas)
10.88,12.1,4.35,9.5,SVT,Faculté (Licence Fondamentale)
14.33,13.81,16.64,15.62,SM-B,ENSA / ENSAM
15.32,12.97,13.47,12.51,SVT,FST
10.22,18.4,15.02,13.17,SM-A,ENSA / ENSAM
12.82,15.47,16.37,11.74,SM-B,ENSA / ENSAM
10.0,14.93,7.6,9.7,SVT,Faculté (Licence Fondamentale)
10.0,17.37,14.82,11.64,SM-A,ENSA / ENSAM
12.24,14.67,9.18,12.4,SVT,FST
10.0,16.8,19.08,17.72,PC,ENSA / ENSAM
17.9,11.15,14.69,10.15,SVT,FST
10.0,12.19,11.3,18.02,PC,Faculté (Licence Fondamentale)
11.68,9.41,10.62,10.27,SVT,FST
13.39,14.09,9.87,9.09,Eco-Gestion,ENCG
17.32,13.32,6.7,10.49,SVT,FST
10.0,11.79,12.15,13.54,SM-B,Faculté (Licence Fondamentale)
16.49,12.07,12.04,12.99,SM-B,FST
13.03,12.91,19.98,18.5,PC,FST
10.06,14.26,16.11,15.25,SM-B,ENSA / ENSAM
14.39,14.81,12.01,12.96,SM-A,FST
13.6,11.48,9.69,14.33,Eco-Gestion,ENCG
11.2,9.75,7.54,13.33,Eco-Gestion,FST
13.21,16.77,12.65,15.78,SM-A,FST
11.84,10.46,14.84,12.23,PC,FST
13.34,14.73,13.87,18.61,SM-A,ENSA / ENSAM
14.99,14.3,19.88,14.31,SM-A,ENSA / ENSAM
17.76,12.28,12.43,20.0,Eco-Gestion,ENCG
10.0,9.02,7.64,10.74,SVT,Faculté (Licence Fondamentale)
19.4,12.1,5.82,13.07,Eco-Gestion,ENCG
10.0,17.08,11.45,12.12,Eco-Gestion,Faculté (Licence Fondamentale)
12.54,14.76,16.8,10.52,SM-B,ENSA / ENSAM
14.76,19.69,18.87,13.77,SM-A,CPGE (Prépas)
13.84,11.97,14.09,16.28,Eco-Gestion,ENCG
11.13,14.39,13.95,9.03,SM-A,ENSA / ENSAM
12.38,16.82,16.33,8.95,SM-B,ENSA / ENSAM
11.52,15.09,12.31,10.3,SM-A,FST
11.23,13.65,8.8,12.1,Eco-Gestion,FST
15.55,12.75,15.37,12.87,SM-A,FST
14.07,14.54,14.62,13.54,SM-B,ENSA / ENSAM
10.92,9.56,6.57,18.42,SVT,Faculté (Licence Fondamentale)
15.7,14.73,14.81,16.03,SM-A,ENSA / ENSAM
13.92,20.0,7.27,14.35,Eco-Gestion,ENCG
15.44,14.58,13.92,10.84,SM-B,ENSA / ENSAM
14.89,8.62,10.88,8.58,Eco-Gestion,ENCG
10.51,14.84,11.17,14.27,Eco-Gestion,Faculté (Licence Fondamentale)
11.32,15.07,14.27,13.86,SM-A,ENSA / ENSAM
15.24,8.51,9.93,10.42,Eco-Gestion,ENCG
14.83,14.22,10.78,17.02,SM-A,FST
12.94,9.94,14.49,16.21,SVT,FST
13.35,8.14,7.73,20.0,Eco-Gestion,ENCG
16.83,17.25,10.91,13.77,Eco-Gestion,CPGE (Prépas)
11.23,10.11,12.3,10.85,Eco-Gestion,FST
14.64,9.94,13.36,13.06,PC,FST
12.39,11.74,15.87,9.78,PC,FST
12.35,14.44,16.71,13.74,SM-B,ENSA / ENSAM
16.3,13.98,17.76,14.44,PC,ENSA / ENSAM
15.48,18.89,14.08,11.71,SM-B,CPGE (Prépas)
15.44,11.4,15.14,15.89,PC,FST
16.92,15.9,13.88,7.62,SVT,CPGE (Prépas)
13.06,18.17,11.32,15.69,SM-B,FST
15.05,13.26,17.41,9.0,PC,ENSA / ENSAM
12.07,15.51,6.61,10.99,SVT,FST
13.97,12.0,12.49,13.28,PC,FST
12.61,19.61,20.0,13.29,SM-A,ENSA / ENSAM
13.29,18.23,15.46,14.5,SM-A,ENSA / ENSAM
14.79,10.97,11.59,14.61,SVT,FST
10.55,10.26,10.77,12.82,Eco-Gestion,Faculté (Licence Fondamentale)
19.28,14.48,7.8,12.85,Eco-Gestion,ENCG
10.0,19.82,17.33,17.05,SM-A,ENSA / ENSAM
10.0,16.05,15.64,16.01,SM-A,ENSA / ENSAM
16.47,16.68,5.15,9.05,Eco-Gestion,CPGE (Prépas)
15.37,18.62,14.45,10.98,SM-B,CPGE (Prépas)
14.87,8.24,9.33,8.79,Eco-Gestion,ENCG
14.89,18.18,15.96,12.83,PC,CPGE (Prépas)
12.96,17.18,16.92,15.84,SM-B,ENSA / ENSAM
10.31,16.15,14.74,12.11,PC,ENSA / ENSAM
13.23,17.54,13.95,12.98,SM-A,ENSA / ENSAM
10.97,16.8,16.57,7.67,SM-B,ENSA / ENSAM
15.93,15.43,15.53,15.12,PC,CPGE (Prépas)
12.56,15.55,19.22,17.06,PC,ENSA / ENSAM
10.52,18.69,17.89,13.87,SM-B,ENSA / ENSAM
12.04,12.1,13.62,15.2,SVT,FST
14.24,11.07,12.21,12.89,Eco-Gestion,ENCG
11.31,12.29,18.58,13.17,PC,FST
10.53,18.15,6.12,11.33,Eco-Gestion,Faculté (Licence Fondamentale)
13.73,12.1,14.41,14.2,Eco-Gestion,ENCG
13.73,16.62,12.75,9.53,SM-A,FST
11.48,12.97,6.91,11.4,Eco-Gestion,FST
11.59,15.0,14.04,17.82,PC,ENSA / ENSAM
13.7,18.45,11.86,10.2,SM-A,FST
10.0,11.43,13.43,15.3,SM-B,Faculté (Licence Fondamentale)
10.0,13.17,16.92,8.43,PC,ENSA / ENSAM
10.84,17.6,13.89,13.04,SM-A,ENSA / ENSAM
12.36,15.81,12.46,9.54,SM-A,FST
13.93,14.9,12.2,16.15,Eco-Gestion,ENCG
17.43,16.65,15.29,7.82,SM-B,CPGE (Prépas)
15.57,13.46,15.95,18.86,PC,ENSA / ENSAM
12.52,15.37,19.07,14.79,PC,ENSA / ENSAM
12.94,9.87,11.35,13.71,Eco-Gestion,ENCG
10.0,14.12,14.23,12.38,SM-B,ENSA / ENSAM
12.94,17.21,11.84,16.62,PC,FST
12.13,14.13,12.26,16.54,SM-B,FST
13.97,15.46,18.51,15.4,PC,ENSA / ENSAM
10.52,18.18,12.68,12.53,Eco-Gestion,Faculté (Licence Fondamentale)
14.56,13.03,14.73,10.66,SVT,ENSA / ENSAM
17.6,12.7,15.38,6.69,PC,FST
12.67,16.28,11.23,13.16,SM-A,FST
14.21,17.73,14.05,18.03,SM-A,CPGE (Prépas)
15.07,7.62,14.57,15.03,SVT,FST
11.8,10.57,20.0,12.81,PC,FST
13.67,14.25,12.19,12.34,SM-A,FST
13.04,15.75,15.21,12.11,SM-A,ENSA / ENSAM
13.29,15.27,15.22,7.2,PC,ENSA / ENSAM
10.68,15.7,10.27,14.06,SM-B,Faculté (Licence Fondamentale)
13.07,12.04,16.33,16.94,PC,FST
14.49,14.1,17.12,11.7,SM-B,ENSA / ENSAM
17.35,17.26,9.9,10.48,SVT,CPGE (Prépas)
15.88,14.06,9.69,10.48,Eco-Gestion,ENCG
19.46,10.57,10.87,17.03,SVT,FST
10.7,6.2,11.07,14.87,Eco-Gestion,Faculté (Licence Fondamentale)
15.62,16.39,17.62,12.78,SM-A,CPGE (Prépas)
13.55,15.63,16.18,13.3,SM-A,ENSA / ENSAM
19.57,15.22,16.03,11.04,SM-A,CPGE (Prépas)
10.58,14.78,13.94,17.06,SM-B,ENSA / ENSAM
10.48,2.34,12.19,13.1,Eco-Gestion,Faculté (Licence Fondamentale)
11.2,12.64,15.62,14.43,SM-A,FST
10.0,15.18,10.7,17.1,PC,Faculté (Licence Fondamentale)
11.42,9.79,13.06,15.22,Eco-Gestion,FST
10.72,9.37,12.98,11.84,Eco-Gestion,Faculté (Licence Fondamentale)
13.45,11.86,17.34,10.67,SM-B,FST
14.03,9.44,9.79,13.82,SVT,FST
18.63,15.89,16.1,8.98,SM-B,CPGE (Prépas)
15.85,14.52,14.77,18.69,SM-A,ENSA / ENSAM
11.27,13.77,18.17,13.12,PC,ENSA / ENSAM
10.3,13.03,15.51,12.49,PC,ENSA / ENSAM
14.48,17.21,17.75,14.08,SM-A,CPGE (Prépas)
10.0,16.37,14.07,11.76,PC,ENSA / ENSAM
18.49,14.55,15.63,11.92,SM-B,ENSA / ENSAM
16.54,17.46,13.14,13.13,SM-B,CPGE (Prépas)
11.59,17.37,10.87,19.36,SM-A,FST
10.0,13.43,11.95,13.47,PC,Faculté (Licence Fondamentale)
17.06,12.1,10.75,15.97,Eco-Gestion,ENCG
12.66,14.24,11.89,14.35,SVT,FST
16.71,11.69,16.33,8.56,Eco-Gestion,ENCG
10.0,16.28,15.13,15.44,SM-B,ENSA / ENSAM
11.2,14.31,11.51,13.47,SM-B,FST
13.02,16.56,17.98,9.19,SM-B,ENSA / ENSAM
13.14,18.31,19.73,11.87,SM-B,ENSA / ENSAM
11.65,8.13,9.78,13.04,SVT,FST
14.87,17.13,13.82,17.67,SM-A,CPGE (Prépas)
10.0,13.77,11.52,16.32,SM-B,Faculté (Licence Fondamentale)
12.57,9.45,15.59,20.0,PC,FST
13.36,11.96,7.64,12.83,SVT,FST
14.54,15.9,15.32,14.99,SM-B,CPGE (Prépas)
15.13,11.92,19.38,13.74,PC,FST
10.0,17.45,13.74,16.86,SM-B,ENSA / ENSAM
10.0,15.49,15.56,10.2,SM-A,ENSA / ENSAM
16.83,9.01,13.06,11.67,SVT,FST
14.0,14.29,13.71,15.1,SM-A,ENSA / ENSAM
10.75,10.11,10.65,13.05,SVT,Faculté (Licence Fondamentale)
17.65,12.17,12.06,14.01,SM-B,FST
13.35,14.53,17.11,15.9,SM-B,ENSA / ENSAM
16.54,14.16,16.46,12.75,SVT,ENSA / ENSAM
13.2,15.3,14.83,20.0,PC,ENSA / ENSAM
19.18,17.97,16.02,14.16,PC,Medecine / Pharmacie
18.27,18.72,14.71,11.03,SM-B,Medecine / Pharmacie
12.25,17.75,15.16,13.55,SM-B,ENSA / ENSAM
15.91,14.33,11.56,13.71,SM-A,FST
14.94,17.81,14.55,17.31,SM-B,CPGE (Prépas)
17.11,9.89,7.84,12.8,SVT,FST
10.11,13.83,17.54,10.68,PC,ENSA / ENSAM
15.06,16.74,19.93,12.88,PC,CPGE (Prépas)
16.18,18.5,12.89,16.23,SM-A,CPGE (Prépas)
10.0,16.09,17.73,12.95,PC,ENSA / ENSAM
10.0,8.09,14.72,11.12,PC,Faculté (Licence Fondamentale)
10.0,9.07,11.37,11.74,Eco-Gestion,Faculté (Licence Fondamentale)
12.19,9.53,7.82,10.85,SVT,FST
15.15,15.36,9.02,11.46,Eco-Gestion,CPGE (Prépas)
17.51,13.09,16.68,14.37,PC,ENSA / ENSAM
13.22,9.91,17.04,17.31,SM-A,FST
17.89,13.9,13.06,11.65,SM-A,ENSA / ENSAM
10.0,12.49,16.45,7.16,PC,Faculté (Licence Fondamentale)
10.0,13.76,18.08,10.22,SM-B,ENSA / ENSAM
12.83,15.73,12.07,7.57,Eco-Gestion,ENCG
14.15,15.27,15.76,11.63,PC,CPGE (Prépas)
12.9,16.49,15.95,15.12,SM-A,ENSA / ENSAM
10.0,18.36,15.82,8.87,SM-A,ENSA / ENSAM
12.73,10.58,19.83,15.17,Eco-Gestion,ENCG
10.0,19.11,15.19,13.73,SVT,ENSA / ENSAM
15.01,14.6,15.93,7.79,PC,ENSA / ENSAM
14.1,14.04,18.42,11.2,PC,ENSA / ENSAM
10.18,13.24,13.55,10.27,SVT,ENSA / ENSAM
11.46,10.65,7.95,10.53,Eco-Gestion,FST
10.0,8.14,8.3,17.26,Eco-Gestion,Faculté (Licence Fondamentale)
12.81,14.17,15.25,11.49,SM-A,ENSA / ENSAM
15.87,15.54,14.93,15.59,SVT,CPGE (Prépas)
10.04,12.92,10.31,9.42,Eco-Gestion,Faculté (Licence Fondamentale)
14.51,19.89,13.48,14.99,SM-B,CPGE (Prépas)
11.41,16.12,14.89,16.11,PC,ENSA / ENSAM
10.62,17.53,18.46,11.59,SM-A,ENSA / ENSAM
12.68,8.14,9.48,13.63,SVT,FST
10.0,16.12,14.21,7.27,SM-A,ENSA / ENSAM
11.34,13.41,16.92,14.39,Eco-Gestion,ENSA / ENSAM
10.0,13.83,12.72,14.19,Eco-Gestion,Faculté (Licence Fondamentale)
